target	regulator	var.exp.median
Hectd2	Rxra	1.0
Hectd2	Mafk	1.0
Hectd2	Tfap2c	1.0
Hectd2	Nrf1	1.0
Sike1	Lhx3	1.0
Hectd2	Esrra	1.0
Hectd2	Nr1h3	1.0
1700066M21Rik	Creb1	1.0
1700066M21Rik	Nr1h2	1.0
1700066M21Rik	Tbp	1.0
Nmd3	Srebf2	1.0
Cbwd1	Atoh1	1.0
Hectd2	Mtf1	1.0
Hectd2	Ptf1a	1.0
Cbwd1	Foxa2	1.0
Hectd2	Nr2f6	1.0
Nmd3	Atf2	1.0
1700066M21Rik	Zfp335	1.0
Hectd2	Mafb	1.0
Nmd3	Atf7	1.0
Nmd3	Cic	1.0
Mettl21a	Otx1	1.0
Nmd3	Gli3	1.0
Hectd2	Pparg	1.0
Nmd3	Crem	1.0
Nmd3	Sox4	1.0
Cbwd1	Fosl2	1.0
Nmd3	Gli1	1.0
Nmd3	Foxc1	1.0
Nmd3	Mafb	1.0
1700066M21Rik	Jdp2	1.0
Nmd3	Foxj3	1.0
Hectd2	Hnf4a	1.0
Nmd3	Foxa2	1.0
Cbwd1	Bach2	1.0
Sike1	Nkx3-2	1.0
Hectd2	Rxrg	1.0
Hectd2	Egr2	1.0
Nmd3	Foxm1	1.0
Cbwd1	Foxl1	1.0
Hectd2	Rarg	1.0
Hectd2	Rxrb	1.0
Cbwd1	Foxa3	1.0
Cbwd1	Foxq1	1.0
Hectd2	Nr2c2	1.0
Mettl21a	Nkx2-5	1.0
Nmd3	Jdp2	1.0
Cbwd1	Foxo3	1.0
Hectd2	Hnf4g	1.0
Hectd2	Esrrb	1.0
Hectd2	Egr3	1.0
Cbwd1	Klf12	1.0
Nmd3	Nr5a2	1.0
Hectd2	Nr4a2	1.0
Cbwd1	Nfe2l2	1.0
Nmd3	Tbx20	1.0
Nmd3	Sox2	1.0
Rpl22l1	Nobox	1.0
Cbwd1	Foxo1	1.0
Mettl21a	Evx1	1.0
Cbwd1	Neurod1	1.0
1700066M21Rik	Prdm9	1.0
Hectd2	Ppara	1.0
