target	regulator	var.exp.median
Hectd2	Egr3	1.0
Cbwd1	Foxc1	1.0
Hectd2	Egr1	1.0
Cbwd1	Foxa3	1.0
Gbf1	Zic3	1.0
Gbf1	Rbpj	1.0
Hectd2	Nr4a2	1.0
Hectd2	Nr2c2	1.0
Hectd2	Rxrb	1.0
Hectd2	Esrra	1.0
Hectd2	Nr2f6	1.0
Nhlrc2	Zfp263	1.0
Cbwd1	Nfe2l2	1.0
Hectd2	Esrrb	1.0
Hectd2	Nhlh1	1.0
1700066M21Rik	Ebf1	1.0
Gbf1	Pparg	1.0
Gbf1	Rarb	1.0
Gbf1	Myb	1.0
Nhlrc2	Pdx1	1.0
Nhlrc2	Tbx20	1.0
Gbf1	Nhlh1	1.0
Nhlrc2	Mef2a	1.0
Gbf1	Mecp2	1.0
Cbwd1	Neurod1	1.0
Cbwd1	Foxo3	1.0
Gbf1	Hic1	1.0
1700066M21Rik	Creb1	1.0
Nhlrc2	Nr2e1	1.0
Cbwd1	Ebf1	1.0
Gbf1	Foxj3	1.0
Hectd2	Ebf1	1.0
Gbf1	Nr2f6	1.0
Cbwd1	Creb5	1.0
Cbwd1	Mafk	1.0
Cbwd1	Hif1a	1.0
Hectd2	Tcfl5	1.0
Hectd2	Pparg	1.0
Gbf1	Foxj1	1.0
Cbwd1	Bach2	1.0
Cbwd1	Rxra	1.0
Gbf1	Foxj2	1.0
1700066M21Rik	Tbp	1.0
Hectd2	Nr1h3	1.0
Cbwd1	Fosl2	1.0
Cbwd1	Foxl1	1.0
Nhlrc2	Creb1	1.0
Cbwd1	Klf12	1.0
Cbwd1	Foxa2	1.0
Gbf1	Smad3	1.0
Hectd2	Nr2f1	1.0
Gbf1	Hnf4g	1.0
Gbf1	Foxc1	1.0
Hectd2	Hnf4g	1.0
Hectd2	Rxrg	1.0
Cbwd1	Foxq1	1.0
Hectd2	Ptf1a	1.0
Cbwd1	Foxo1	1.0
Nhlrc2	Mef2d	1.0
Cbwd1	Tcf21	1.0
Hectd2	Hnf4a	1.0
Nhlrc2	Hnf4a	1.0
