target	regulator	var.exp.median
Gm16299	Six3	1.0
Gm16299	Nr2e1	1.0
Gm16299	Jdp2	1.0
Gm16299	Irf6	1.0
Gm16299	Six6	1.0
Gm16299	Mypop	1.0
Gm16299	Cebpg	1.0
Gm16299	Atf1	1.0
Erbb4	Barhl2	0.9998624648193504
Zeb1	Klf9	0.998771032188014
Cntnap5c	Hoxc12	0.9935294299764912
Gria3	Sox13	0.982543444759172
Galntl6	Foxa1	0.9844537038513508
Rbfox1	Nfia	0.9670726738529338
Efna5	Hoxc11	0.960696952049904
Mgat4c	Irf2	0.957654512327172
Frmpd4	Hmx2	0.9815022836009138
Sox6	Nr4a1	0.9473101124554444
Il1rapl2	E2f5	0.965893285769526
Ralyl	Pbx2	0.941593629517982
Gm20754	Prdm11	0.9328820198210775
4930509J09Rik	Prdm11	0.9378237155506409
Thsd7a	Barhl1	0.9461902450731672
Pcsk2	Relb	0.9178759587375928
Il34	Ahctf1	0.9037491557558844
A330015K06Rik	Cphx1	0.9026194061998026
Pcdh9	Junb	0.8907604490763852
Gm1604a	Cdx4	0.8901877287456351
Malat1	Rbpjl	0.8755222839927831
Efna5	Hoxd11	0.8720771964774204
Gm26905	Foxa1	0.9242389778532608
Kcnd2	Nr2f2	0.8511904156499585
Barx2	Relb	0.8488135367248251
Cntnap5c	Cebpb	0.8442050940830688
Ncam2	Tbx5	0.8978116360713404
Lsamp	Nr2c2	0.8437724585808739
Sgcz	Mecp2	0.8271065026194
Rbfox1	Trp53	0.8285756597544842
Nrg3	Cic	0.8168788467658401
Etl4	Relb	0.8134857408718623
Sntg1	Dlx3	0.8143696398001716
Malat1	Rbpj	0.8127679785029106
Reln	Hey2	0.8115910426835287
Cdkl5	Tef	0.8760584842814325
Kalrn	Lyl1	0.8107531077967429
B230334C09Rik	Lhx2	0.8534393241062179
Mgat4c	Irf4	0.7986514383564974
Rab27b	Bhlha15	0.8174755841019394
Nrxn1	Zfp637	0.8078615563352891
Cdh9	Gata2	0.8373775172017804
Mrpl15	Rax	0.7886538666737625
Me3	Hoxb3	0.806123112341586
Mef2c	Evx2	0.7733745178803122
Kirrel3	Bach1	0.8021531473125517
Pigk	Esrrg	0.7753597888170264
Syt17	Sox13	0.7923383224776532
St8sia4	Dbp	0.8547367858919648
St6galnac5	Esrrg	0.769763761724471
Oxr1	Cebpe	0.7925522372518963
Chsy3	Cebpe	0.7576377327616648
Col19a1	Aire	0.7550632266776915
Lrrtm4	Foxo3	0.8102325659435954
Ccdc178	Vax2	0.7422733878918867
Smarca2	Ahctf1	0.7492681722902872
Pcdh11x	Cux2	0.7467202684323797
Col19a1	Hnf1a	0.7524190819875827
Cdh12	E2f5	0.7832800133115032
Scube2	Bhlha15	0.8056673719474718
Zbtb20	Ahctf1	0.9148726422796885
Kcnc2	Barhl2	0.7331720154859238
Luzp2	Phf21a	0.7401647014483419
Snhg11	Hoxb9	0.7415064894690581
Ndst3	Hoxc12	0.7511125091849771
Man1a	Ahctf1	0.7173041350129807
Lrrc4c	Sox9	0.8312630126454685
Malat1	Pgr	0.7146073573053928
Tmem132b	Hoxc12	0.7411739500621887
Lrrtm4	Nr4a2	0.7212416805512676
Frmd4b	Ets2	0.7419037021499362
Cntnap5c	Aire	0.701474599411671
Nrxn3	Irf7	0.7146484303205173
Cntnap2	Q8VHG7_MOUSE	0.6974599105782421
Adam23	Bcl6	0.8374866486431407
Lingo2	Bhlha15	0.684760264420962
Ctnna1	Hnf4g	0.7373608273493637
Epha7	Zfp410	0.6914919917132701
Gm20754	Pou6f1	0.6785911567120353
Ankrd12	Hoxd11	0.6984067390642292
Adcy8	Hoxa1	0.7007065220081634
Elfn1	Hes5	0.6915958926039034
Gria3	Sox30	0.6775844591524156
Kcnd2	E2f1	0.6798525479123815
Tmem178	Hoxa6	0.6846392426043033
Tcf4	Aire	0.6801002046738582
Gm11418	Twist2	0.6775859201410621
Galnt17	Hoxc12	0.6727670398821441
Fstl4	Nrf1	0.6724221487101267
Shtn1	Hoxa3	0.6959170868802884
Rgs9	Hoxa13	0.7399900428621476
Maml2	Tbx21	0.6859395223937568
Gm48893	Ehf	0.7464750846242635
Klhl14	Irf4	0.6690603351796522
1110004F10Rik	Nr4a1	0.7247961874798552
Ogt	Tef	0.7566257407987749
Gm43154	Dmbx1	0.7505257867988864
Adgrb3	Arid5b	0.743799454953928
Pde1c	Tcf7l1	0.7052131224420689
Cdh9	Rfx3	0.7021343756324029
Bcs1l	Cux1	0.6703600425635289
Bche	Prdm11	0.6484948783042319
Adgra3	Cebpd	0.720216979283339
Moxd1	Klf15	0.7732913279576877
Dscam	Hoxb4	0.7343301685199679
Barx2	Mecp2	0.6622675814392506
Ecel1	Esrrb	0.7098155374270564
Mmp16	Elf3	0.7810141507132078
Tnik	Hoxd3	0.6554050031201122
Tmem44	Foxc1	0.650900391284126
Gm43713	Pou3f3	0.6821770882422553
Cux2	Nrf1	0.6829910043195857
Adamts16	Bhlha15	0.7143011396330301
Pdzrn4	Mbd2	0.669687311820681
Ralyl	Tlx2	0.6495847703250113
Btbd11	Hoxa4	0.6544286581393249
Khdrbs3	Batf	0.6329559175097312
Robo1	Mef2d	0.6840012424800602
Luzp2	Cic	0.8669331200763588
Cracr2a	Zfp637	0.6729621441302739
Crtac1	Arid5a	0.6496274309823595
Ctnna3	Dmbx1	0.7357935878185129
Phlda1	Cebpa	0.6742427797827093
Asap2	Bhlha15	0.6382631983413082
Khsrp	Pou3f3	0.8098839983353477
Rerg	Zfp652	0.7158903844949279
Srrm4	Hoxc12	0.64191945248095
Pcdh17	Atf2	0.7076094319560121
Slc25a13	Vax1	0.6375755944328144
Gm13963	Osr2	0.6654158547584083
Celf4	Prdm11	0.6285178112522737
Nebl	Atf2	0.6432812183335344
Chsy3	Cebpb	0.6384052536714636
Nrxn1	A1JVI6_MOUSE	0.6852521221110197
Ntm	Lhx3	0.6525968560442135
Dmd	Mef2a	0.6345846209561125
Pde7a	Lbx2	0.6240449952686861
Sema3c	Arid3b	0.6557412504464469
Macrod2	Nfatc3	0.6641984601423456
Epha10	Setbp1	0.6246071868371172
Xirp2	Relb	0.6200317812608578
Lrtm1	Ets2	0.6247421326339524
Gsdme	Gata2	0.6269508939073088
Dlx6os1	Relb	0.6368408546572042
Fam135b	Cebpe	0.6284808192440746
Cdh4	Nr1i2	0.6347227232054797
Ptprn2	Ets1	0.6498084398542419
P2ry14	Foxp1	0.6890277304294888
Kalrn	Pou2f1	0.6355283708334455
Stradb	Gmeb1	0.7563137197124673
Sdk1	Zfp410	0.631051234692801
Fgf12	Mef2d	0.6064023287113206
Syt16	Hmx2	0.6164556887059565
Il1rap	Hoxc12	0.6644388100083309
Ntrk3	Nr4a2	0.6336345575358043
Rgs17	Arid5a	0.7172794084781815
Ptprd	Ahctf1	0.5975946429413876
Kcnmb4	Fev	0.6388406023047768
Gm44151	Hoxa6	0.6132440917117798
Homer2	Relb	0.6140950081284805
Nkain3	Ahctf1	0.5822860539718112
Trub1	Nkx2-4	0.6282081319062262
Robo2	Etv4	0.5897886065390443
Adgrb3	Foxl1	0.608548283298561
Zfpm2	Vdr	0.6009259699958676
Cacnb2	Arid3b	0.6305070925958611
Ptgs1	Hoxc12	0.5965358325411843
Pkp4	Mef2a	0.6049578081671494
Glrb	Foxo6	0.6829515947965759
Crtac1	Rarg	0.5899582043304108
Elmo1	Gm5294	0.6876555805126675
A930015D03Rik	Hnf1b	0.6371029692049391
Lgi1	Pitx3	0.7702865094160074
Malat1	Tead1	0.5984985486614219
2210414B05Rik	Arid3a	0.5985338147224968
Gm28928	Cbfb	0.6434924617023228
Brinp2	Pou6f1	0.5953203415440056
Gm15577	E2f3	0.6048019042595303
March11	Prdm11	0.6523107636381131
Eya1	Arid5a	0.6356570583637526
Lingo2	E2f3	0.5912522534348863
Trhde	Stat1	0.5733305104156057
4921534H16Rik	Phf21a	0.5971952101899722
Crybg1	Hoxc12	0.5998378594259751
Pde10a	Hoxd11	0.5860854845930452
A330102I10Rik	Nfatc1	0.6061220014750657
Gm28501	Rarg	0.5942142849570611
Wdr44	Sp100	0.6118710595871414
Slc24a2	Zic5	0.5781648723331454
4933413L06Rik	Nfatc4	0.6281512222299492
Tcf4	Maf	0.5822788234077192
4930419G24Rik	Creb5	0.5820549872430334
Larp1b	E2f1	0.5973323332743976
Kcnh7	Hoxb4	0.588627179425879
Zswim5	Irf4	0.6143761756316164
Npy	Rfx2	0.5846458942294711
Ncald	Ahctf1	0.588474542289676
Gm15810	Lef1	0.5941602852911378
Alk	Gm5294	0.5797261491368846
Hectd2	Obox1	0.5924335211342061
Greb1l	Six1	0.6075558888904247
Mtus2	Klf7	0.6363270936400621
Rbfox1	Bcl6	0.5823155267714765
Zfp804b	Hnf1b	0.592276706423389
Cadm2	Tbx21	0.5614010783199055
