target	regulator	var.exp.median
Col4a4	Nkx2-3	1.0
Tmem11	Cux2	0.997467
Tmem11	A1JVI6_MOUSE	0.9833299999999999
Kif23	Barx2	0.9472940000000001
Grin3a	Barx2	0.911428
Fbln5	Barx2	0.9245559999999999
Mif	Hoxc9	0.961706
Gm12689	Lhx5	0.8699399999999999
Csmd3	Hoxd8	0.9247350000000001
Cdk14	Dlx2	0.861827
Tm4sf5	Barx2	0.876409
Dmtn	Barx2	0.8684569999999999
Gm13610	Sox18	0.823066
Mcc	Barx2	0.908646
Arxes1	Ovol2	0.879008
Grm1	Barx2	0.804765
Spon1	Barx2	0.877624
Gm21761	Hdx	0.877833
Adamts6	Hdx	0.877833
Recql4	Lhx5	0.8209799999999999
1110008P14Rik	Barx2	0.783327
Gm16751	Lhx5	0.803042
A730056A06Rik	Six3	0.78194
Meg3	Lhx4	0.884366
Brinp2	Dlx2	0.8731979999999999
Tpi1	Esrrg	0.910741
Gm3716	Nkx6-3	0.776772
Acot10	Barx2	0.787339
Gm8797	Sox6	0.8557379999999999
Lpcat2	Neurog2	0.914133
Chrna7	Nkx6-3	0.791167
Rpl13-ps3	Cic	0.783331
Ablim3	Barx2	0.9279540000000001
Rab3a	Tcfcp2l1	0.850424
Sgsh	Nkx6-3	0.749171
Arhgdig	Barx2	0.7445350000000001
Ndufb2	Hoxc9	0.8091010000000001
Ran	Mxi1	0.72469
Ccdc142	Lhx5	0.744501
Uqcr11	Foxk1	0.757657
Cntn4	Hoxc11	0.7595390000000001
Rps4x	Foxk1	0.734143
Plcb1	Zbtb14	0.78852
Synpr	Barx2	0.726116
Gm15774	Meox1	0.7374729999999999
Rps26-ps1	Elk1	0.67775
Nfil3	Tef	0.7299800000000001
Map3k15	Barx2	0.716172
Tctn1	Lhx5	0.688861
Rpl23	Arntl	0.774517
Gtf2ird1	Obox1	0.6636989999999999
Ssu72	Sox13	0.669615
Gm26593	Barx2	0.677235
Uhrf1	Barx2	0.677235
Trappc3	Hsf1	0.732221
Tiam2	Dlx2	0.904941
Rpl8	Elk4	0.839598
Ccdc178	Barx2	0.824191
Tuba1a	Arid3b	0.9675370000000001
Reln	Barx2	0.852957
Ccna1	Barx2	0.667209
Eef1b2	Tcf7l1	0.682666
Sh2d7	Meox1	0.690746
Lpar3	Barx2	0.6355109999999999
Smim3	Lhx5	0.700333
Gm10475	Lhx5	0.8116260000000001
Atp5g1	Foxk1	0.623023
Rab3b	Barx2	0.611931
